lang,faq,how-to,privacy,security,terms
en,faq,how-to,privacy,security,terms
ar,الأسئلة-الشائعة,كيفية,الخصوصية,الأمان,الشروط
de,fragen-und-antworten,anleitung,datenschutz,sicherheit,nutzungsbedingungen
es,preguntas-frecuentes,como-hacer,privacidad,seguridad,terminos
fr,faq,comment-faire,confidentialite,securite,conditions
hi,अक्सर-पूछे-जाने-वाले-प्रश्न,कैसे-करें,गोपनीयता,सुरक्षा,नियम
it,domande-frequenti,come-fare,privacy,sicurezza,termini
ja,よくある質問,使い方,プライバシー,セキュリティ,利用規約
ko,자주-묻는-질문,사용방법,개인정보처리방침,보안,이용약관
nl,veelgestelde-vragen,handleiding,privacy,beveiliging,voorwaarden
pl,czesto-zadawane-pytania,jak-to-zrobic,prywatnosc,bezpieczenstwo,regulamin
pt,perguntas-frequentes,como-fazer,privacidade,seguranca,termos
pt-BR,perguntas-frequentes,como-fazer,privacidade,seguranca,termos
ru,вопросы-и-ответы,как-сделать,конфиденциальность,безопасность,условия
tr,sss,nasıl-yapılır,gizlilik,güvenlik,kullanım-koşulları
uk,питання-та-відповіді,як-користуватися,конфіденційність,безпека,умови
zh-CN,常见问题,使用指南,隐私,安全,条款
